Course,Program,Year,Module Name,Competency
D.Voc,Manufacturing Technology,Year-1,Hand and Power Tools,Knows about the Fundamentals of Hand Tools
D.Voc,Manufacturing Technology,Year-1,Hand and Power Tools,Knows about the Fundamentals of Power Tools
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand a Material Handling System
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Major Equipment Categories
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Load Formation Equipment
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand use of Pallets
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Positioning Equipment
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Conveyors
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Cranes
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Knows Industrial trucks
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand Counterbalanced lift trucks
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand Narrow-Aisle Lift Trucks
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand Automated Guided Vehicle System
D.Voc,Manufacturing Technology,Year-1,Industrial Material Handling,Understand Material Handling Equipment Selection
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Knows how to Greet
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Can give Self-Introduction in English
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Able to engage in Social Talks
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Can participate in Public Speaking
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Knows about Job Interviews
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Understands about Listening Skill
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Knows the Basics of English Reading
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Knows the Speed Reading Tips
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Can read Comprehensions
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Can find a word in Comprehension
D.Voc,Manufacturing Technology,Year-1,Communication in English [Level-3],Able to Read Newspaper
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,Knows about Mechanical Joints
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,Knows about Seals & Gaskets
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,"Knows about Keys, Shafts & Couplings"
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,Knows about Mechanical Drives
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,Knows about Bearings and Bushes
D.Voc,Manufacturing Technology,Year-1,Mechanical Joints and Machine Elements,"Knows about Springs, Levers and Pulleys"
D.Voc,Manufacturing Technology,Year-1,Fundamentals of General Plumbing,Undestands the basics of Plumbing
D.Voc,Manufacturing Technology,Year-1,Fundamentals of General Plumbing,Knows about the Tools for Plumbing
D.Voc,Manufacturing Technology,Year-1,Fundamentals of General Plumbing,Knows about Plumbing Material and Pipes
D.Voc,Manufacturing Technology,Year-1,Fundamentals of General Plumbing,Understands the Measurements and Symbols used in Plumbing
D.Voc,Manufacturing Technology,Year-1,Fundamentals of General Plumbing,"Knows about Pipe Fittings, Joints and Valves"
D.Voc,Manufacturing Technology,Year-1,Digital Literacy,Understands Digital Power
